,State_Name,Total_confirmed,Total_Recovered,Total_Deaths
24,Manipur,1,0,0
25,Mizoram,1,0,0
23,AndamanandNicobarIslands,10,0,0
5,Karnataka,110,9,3
14,AndhraPradesh,111,1,0
3,UttarPradesh,117,17,2
8,Rajasthan,120,3,0
13,Ladakh,13,3,0
4,Delhi,152,6,2
18,Chhattisgarh,17,2,0
16,Chandigarh,17,0,0
2,TamilNadu,234,6,1
17,Bihar,24,0,1
1,Kerala,265,26,2
21,HimachalPradesh,3,0,1
26,Puducherry,3,0,0
0,Maharashtra,335,39,14
15,WestBengal,37,3,6
10,Haryana,43,17,0
9,Punjab,46,1,4
20,Goa,5,0,0
22,Odisha,5,0,0
12,JammuandKashmir,62,1,2
19,Uttarakhand,7,2,0
11,MadhyaPradesh,86,0,4
7,Gujarat,87,6,5
6,Telengana,97,14,6
