,State_Name,Total_confirmed,Total_Recovered,Total_Deaths
25,Mizoram,1,0,0
19,Uttarakhand,10,2,0
23,AndamanandNicobarIslands,10,0,0
6,Karnataka,128,11,3
12,MadhyaPradesh,129,0,8
14,Ladakh,13,3,0
7,Telangana,154,17,9
5,AndhraPradesh,161,2,1
9,Rajasthan,166,3,0
3,UttarPradesh,172,17,2
16,Chandigarh,18,0,0
24,Manipur,2,0,0
17,Bihar,29,3,1
1,Kerala,295,42,2
4,Delhi,384,8,4
2,TamilNadu,411,6,1
0,Maharashtra,423,42,21
26,Puducherry,5,0,0
10,Punjab,51,1,5
15,WestBengal,53,3,6
11,Haryana,57,27,0
20,Goa,6,0,0
21,HimachalPradesh,6,1,1
13,JammuandKashmir,75,3,2
18,Chhattisgarh,9,3,0
22,Odisha,9,2,0
8,Gujarat,95,10,8
