,State_Name,Total_confirmed,Total_Recovered,Total_Deaths
27,Mizoram,1,0,0
24,AndamanandNicobarIslands,11,10,0
3,UttarPradesh,1184,127,17
12,MadhyaPradesh,1407,131,73
9,Rajasthan,1478,205,11
2,TamilNadu,1520,411,15
8,Gujarat,1799,105,63
14,Ladakh,18,14,0
26,Manipur,2,1,0
4,Delhi,2081,290,45
10,Punjab,244,37,16
11,Haryana,250,104,3
16,Chandigarh,26,13,0
25,Jharkhand,27,0,2
15,WestBengal,310,61,12
18,Assam,34,0,0
13,JammuandKashmir,354,42,5
19,Chhattisgarh,36,24,0
22,HimachalPradesh,38,12,2
20,Uttarakhand,40,4,0
1,Kerala,401,270,2
6,Karnataka,410,111,16
0,Maharashtra,4666,572,232
28,Puducherry,5,0,0
23,Odisha,60,12,1
21,Goa,7,5,0
5,AndhraPradesh,747,65,17
7,Telangana,858,187,21
17,Bihar,96,42,2
