,State_Name,Total_confirmed,Total_Recovered,Total_Deaths
24,AndamanandNicobarIslands,10,0,0
19,Chhattisgarh,10,7,0
0,Maharashtra,1018,79,64
13,JammuandKashmir,125,4,3
14,Ladakh,14,4,0
11,Haryana,143,31,2
6,Karnataka,175,25,4
8,Gujarat,175,25,14
22,HimachalPradesh,18,1,2
16,Chandigarh,18,7,0
26,Manipur,2,0,0
18,Assam,28,0,0
12,MadhyaPradesh,290,21,21
20,Uttarakhand,31,4,0
5,AndhraPradesh,314,5,3
3,UttarPradesh,332,21,3
1,Kerala,336,71,2
9,Rajasthan,348,25,1
17,Bihar,38,15,1
25,Jharkhand,4,0,0
23,Odisha,40,2,0
7,Telangana,404,45,11
4,Delhi,576,20,9
2,TamilNadu,690,19,7
21,Goa,7,0,0
15,WestBengal,91,13,3
10,Punjab,99,14,8
