,State_Name,Total_confirmed,Total_Recovered,Total_Deaths
24,Manipur,1,0,0
25,Mizoram,1,0,0
23,AndamanandNicobarIslands,10,0,0
3,UttarPradesh,104,17,0
5,Karnataka,105,8,3
8,Rajasthan,106,3,0
4,Delhi,123,6,2
2,TamilNadu,124,6,1
13,Ladakh,13,3,0
16,Chandigarh,15,0,0
17,Bihar,23,0,1
1,Kerala,241,24,2
15,WestBengal,27,0,4
22,Odisha,3,0,0
21,HimachalPradesh,3,0,1
26,Puducherry,3,0,0
0,Maharashtra,325,39,12
10,Haryana,43,17,0
9,Punjab,45,1,4
20,Goa,5,0,0
12,JammuandKashmir,55,1,1
19,Uttarakhand,7,2,0
7,Gujarat,82,6,5
11,MadhyaPradesh,86,0,4
14,AndhraPradesh,87,1,0
18,Chhattisgarh,9,2,0
6,Telengana,92,14,8
