,State_Name,Total_confirmed,Total_Recovered,Total_Deaths
26,Manipur,2,1,0
21,Goa,7,0,0
24,AndamanandNicobarIslands,11,10,0
14,Ladakh,15,11,0
25,Jharkhand,17,0,1
16,Chandigarh,21,7,0
19,Chhattisgarh,25,9,0
18,Assam,29,0,0
22,HimachalPradesh,32,8,2
20,Uttarakhand,35,4,0
23,Odisha,54,12,1
17,Bihar,64,15,1
15,WestBengal,152,29,7
10,Punjab,170,23,12
11,Haryana,195,44,3
6,Karnataka,232,54,6
13,JammuandKashmir,245,6,4
1,Kerala,375,179,2
5,AndhraPradesh,420,12,7
3,UttarPradesh,483,45,5
8,Gujarat,516,44,24
7,Telangana,531,103,16
12,MadhyaPradesh,562,41,43
9,Rajasthan,815,121,11
2,TamilNadu,1075,50,11
4,Delhi,1154,28,24
0,Maharashtra,1982,217,150
