,State_Name,Total_confirmed,Total_Recovered,Total_Deaths
4,Delhi,1069,27,19
24,AndamanandNicobarIslands,11,10,0
15,WestBengal,126,16,5
14,Ladakh,15,11,0
10,Punjab,158,20,12
25,Jharkhand,17,0,1
11,Haryana,179,36,2
0,Maharashtra,1895,208,127
16,Chandigarh,19,7,0
26,Manipur,2,1,0
6,Karnataka,215,39,6
13,JammuandKashmir,224,6,4
19,Chhattisgarh,25,9,0
18,Assam,29,0,0
22,HimachalPradesh,32,8,2
20,Uttarakhand,35,4,0
1,Kerala,373,143,2
5,AndhraPradesh,405,10,5
3,UttarPradesh,452,45,5
8,Gujarat,468,44,22
7,Telangana,503,96,14
12,MadhyaPradesh,529,38,40
23,Odisha,54,12,1
17,Bihar,64,15,1
21,Goa,7,0,0
9,Rajasthan,796,116,9
2,TamilNadu,969,44,10
