,State_Name,Total_confirmed,Total_Recovered,Total_Deaths
27,Mizoram,1,0,0
24,AndamanandNicobarIslands,11,10,0
9,Rajasthan,1105,147,11
2,TamilNadu,1242,81,12
4,Delhi,1578,41,32
14,Ladakh,17,12,0
10,Punjab,186,27,13
15,WestBengal,190,36,7
26,Manipur,2,1,0
11,Haryana,204,55,3
16,Chandigarh,21,7,0
19,Chhattisgarh,25,9,0
25,Jharkhand,27,0,2
13,JammuandKashmir,278,30,4
6,Karnataka,279,80,12
0,Maharashtra,2914,295,187
18,Assam,32,0,0
22,HimachalPradesh,32,12,2
20,Uttarakhand,37,4,0
1,Kerala,387,211,2
28,Puducherry,5,0,0
5,AndhraPradesh,582,20,19
23,Odisha,60,12,1
7,Telangana,644,110,18
17,Bihar,66,15,1
21,Goa,7,5,0
3,UttarPradesh,735,57,11
12,MadhyaPradesh,741,64,53
8,Gujarat,766,64,33
