,State_Name,Total_confirmed,Total_Recovered,Total_Deaths,Date
24,AndamanandNicobarIslands,10,0,0,9/4/2020
19,Chhattisgarh,10,7,0,9/4/2020
10,Punjab,112,14,9,9/4/2020
0,Maharashtra,1135,117,72,9/4/2020
14,Ladakh,14,4,0,9/4/2020
13,JammuandKashmir,158,6,3,9/4/2020
11,Haryana,167,32,2,9/4/2020
16,Chandigarh,18,7,0,9/4/2020
6,Karnataka,181,28,5,9/4/2020
8,Gujarat,185,25,16,9/4/2020
26,Manipur,2,0,0,9/4/2020
22,HimachalPradesh,27,2,2,9/4/2020
18,Assam,28,0,0,9/4/2020
12,MadhyaPradesh,341,25,24,9/4/2020
1,Kerala,346,84,2,9/4/2020
5,AndhraPradesh,348,6,3,9/4/2020
20,Uttarakhand,35,4,0,9/4/2020
3,UttarPradesh,361,31,4,9/4/2020
9,Rajasthan,383,45,3,9/4/2020
17,Bihar,39,15,1,9/4/2020
25,Jharkhand,4,0,0,9/4/2020
23,Odisha,40,2,0,9/4/2020
7,Telangana,453,45,11,9/4/2020
4,Delhi,669,21,9,9/4/2020
21,Goa,7,0,0,9/4/2020
2,TamilNadu,738,21,8,9/4/2020
15,WestBengal,99,13,5,9/4/2020
