,State_Name,Total_confirmed,Total_Recovered,Total_Deaths
24,AndamanandNicobarIslands,10,0,0
19,Chhattisgarh,10,7,0
13,JammuandKashmir,106,3,2
22,HimachalPradesh,13,1,2
14,Ladakh,14,3,0
8,Gujarat,144,17,11
6,Karnataka,151,11,4
12,MadhyaPradesh,179,0,11
16,Chandigarh,18,3,0
26,Manipur,2,0,0
9,Rajasthan,210,25,1
23,Odisha,23,2,0
18,Assam,26,0,0
20,Uttarakhand,26,4,0
5,AndhraPradesh,266,2,1
3,UttarPradesh,278,21,2
25,Jharkhand,3,0,0
1,Kerala,314,56,2
17,Bihar,32,3,1
7,Telangana,334,32,11
4,Delhi,503,16,7
15,WestBengal,53,3,6
2,TamilNadu,571,8,5
10,Punjab,68,4,6
21,Goa,7,0,0
0,Maharashtra,781,52,45
11,Haryana,90,29,0
