,State_Name,Total_confirmed,Total_Recovered,Total_Deaths
27,Mizoram,1,0,0
24,AndamanandNicobarIslands,11,10,0
9,Rajasthan,1131,147,11
2,TamilNadu,1267,181,15
4,Delhi,1678,52,38
14,Ladakh,17,12,0
15,WestBengal,190,36,7
10,Punjab,197,27,13
26,Manipur,2,1,0
16,Chandigarh,21,7,0
11,Haryana,215,55,3
19,Chhattisgarh,25,9,0
25,Jharkhand,27,0,2
13,JammuandKashmir,278,30,4
6,Karnataka,315,80,12
18,Assam,32,0,0
22,HimachalPradesh,32,12,2
0,Maharashtra,3214,300,197
20,Uttarakhand,37,4,0
1,Kerala,394,245,2
28,Puducherry,5,0,0
5,AndhraPradesh,532,20,19
23,Odisha,60,12,1
17,Bihar,66,15,1
21,Goa,7,5,0
7,Telangana,700,110,18
12,MadhyaPradesh,741,64,53
3,UttarPradesh,805,68,13
8,Gujarat,929,64,33
