,State_Name,Total_confirmed,Total_Recovered,Total_Deaths
19,Chhattisgarh,10,7,0
24,AndamanandNicobarIslands,11,10,0
15,WestBengal,116,16,5
25,Jharkhand,13,0,1
10,Punjab,130,18,10
0,Maharashtra,1364,125,98
14,Ladakh,14,4,0
11,Haryana,170,32,2
16,Chandigarh,18,7,0
13,JammuandKashmir,184,6,4
6,Karnataka,197,30,6
26,Manipur,2,1,0
8,Gujarat,262,26,18
22,HimachalPradesh,28,2,2
18,Assam,29,0,0
20,Uttarakhand,35,4,0
1,Kerala,356,97,2
5,AndhraPradesh,363,10,5
3,UttarPradesh,410,31,4
12,MadhyaPradesh,411,25,33
7,Telangana,471,45,12
23,Odisha,48,2,1
9,Rajasthan,489,60,3
17,Bihar,58,15,1
21,Goa,7,0,0
4,Delhi,720,25,12
2,TamilNadu,834,27,8
