,State_Name,Total_confirmed,Total_Recovered,Total_Deaths
27,Mizoram,1,0,0
24,AndamanandNicobarIslands,11,10,0
17,Bihar,126,42,2
3,UttarPradesh,1384,162,21
12,MadhyaPradesh,1552,148,80
2,TamilNadu,1596,635,18
9,Rajasthan,1738,274,11
14,Ladakh,18,14,0
26,Manipur,2,1,0
8,Gujarat,2178,139,90
4,Delhi,2181,611,47
10,Punjab,251,47,16
11,Haryana,255,147,3
16,Chandigarh,27,13,0
25,Jharkhand,27,0,2
18,Assam,34,0,0
19,Chhattisgarh,36,24,0
22,HimachalPradesh,38,12,2
13,JammuandKashmir,380,42,5
20,Uttarakhand,40,4,0
6,Karnataka,418,129,16
15,WestBengal,423,73,15
1,Kerala,426,270,2
28,Puducherry,5,0,0
0,Maharashtra,5266,722,252
23,Odisha,60,12,1
21,Goa,7,5,0
5,AndhraPradesh,757,96,22
7,Telangana,928,194,21
