,State_Name,Total_confirmed,Total_Recovered,Total_Deaths
27,Mizoram,1,0,0
24,AndamanandNicobarIslands,11,10,0
17,Bihar,126,42,2
3,UttarPradesh,1624,221,21
2,TamilNadu,1796,866,18
14,Ladakh,18,14,0
12,MadhyaPradesh,1846,257,80
26,Manipur,2,1,0
9,Rajasthan,2034,493,11
4,Delhi,2514,857,47
16,Chandigarh,27,13,0
25,Jharkhand,27,0,2
11,Haryana,275,147,3
8,Gujarat,2878,265,90
10,Punjab,298,47,16
18,Assam,34,0,0
19,Chhattisgarh,36,24,0
22,HimachalPradesh,38,12,2
13,JammuandKashmir,380,42,5
20,Uttarakhand,40,4,0
15,WestBengal,423,73,15
1,Kerala,450,331,2
6,Karnataka,474,152,16
28,Puducherry,5,0,0
23,Odisha,60,12,1
0,Maharashtra,6866,957,301
21,Goa,7,5,0
7,Telangana,928,194,21
5,AndhraPradesh,957,145,22
