,State_Name,Total_confirmed,Total_Recovered,Total_Deaths
27,Mizoram,1,0,0
7,Telangana,1016,194,21
24,AndamanandNicobarIslands,11,10,0
17,Bihar,126,42,2
5,AndhraPradesh,1332,145,22
14,Ladakh,18,14,0
12,MadhyaPradesh,1846,257,80
26,Manipur,2,1,0
3,UttarPradesh,2174,327,27
2,TamilNadu,2196,1266,24
9,Rajasthan,2534,493,11
16,Chandigarh,27,13,0
25,Jharkhand,27,0,2
11,Haryana,275,147,3
18,Assam,34,0,0
4,Delhi,3439,1092,47
19,Chhattisgarh,36,24,0
10,Punjab,375,47,16
22,HimachalPradesh,38,12,2
13,JammuandKashmir,380,42,5
20,Uttarakhand,40,4,0
8,Gujarat,4078,565,190
15,WestBengal,423,73,15
1,Kerala,496,341,2
28,Puducherry,5,0,0
6,Karnataka,534,152,16
23,Odisha,60,12,1
21,Goa,7,5,0
0,Maharashtra,9915,1557,432
