,State_Name,Total_confirmed,Total_Recovered,Total_Deaths
24,AndamanandNicobarIslands,10,0,0
19,Chhattisgarh,10,7,0
13,JammuandKashmir,106,3,2
8,Gujarat,122,17,11
22,HimachalPradesh,13,1,2
14,Ladakh,14,3,0
6,Karnataka,151,11,4
12,MadhyaPradesh,179,0,11
16,Chandigarh,18,3,0
26,Manipur,2,0,0
9,Rajasthan,210,25,1
5,AndhraPradesh,226,2,1
23,Odisha,23,2,0
3,UttarPradesh,234,21,2
18,Assam,26,0,0
20,Uttarakhand,26,4,0
7,Telangana,272,32,11
25,Jharkhand,3,0,0
1,Kerala,314,56,2
17,Bihar,32,3,1
4,Delhi,445,16,6
15,WestBengal,53,3,6
2,TamilNadu,571,8,5
10,Punjab,68,4,6
21,Goa,7,0,0
0,Maharashtra,748,52,36
11,Haryana,90,29,0
