,State_Name,Total_confirmed,Total_Recovered,Total_Deaths
27,Mizoram,1,0,0
24,AndamanandNicobarIslands,11,10,0
2,TamilNadu,1175,58,11
14,Ladakh,15,11,0
4,Delhi,1510,31,28
15,WestBengal,152,29,7
25,Jharkhand,17,0,1
10,Punjab,176,23,12
11,Haryana,195,44,3
26,Manipur,2,1,0
16,Chandigarh,21,7,0
6,Karnataka,232,54,6
0,Maharashtra,2334,229,160
13,JammuandKashmir,245,6,4
19,Chhattisgarh,25,9,0
18,Assam,29,0,0
22,HimachalPradesh,32,8,2
20,Uttarakhand,35,4,0
1,Kerala,378,179,2
5,AndhraPradesh,439,12,7
3,UttarPradesh,483,45,5
28,Puducherry,5,0,0
23,Odisha,54,12,1
12,MadhyaPradesh,562,41,43
8,Gujarat,572,44,24
7,Telangana,592,103,16
17,Bihar,64,15,1
21,Goa,7,0,0
9,Rajasthan,897,121,11
