,State_Name,Total_confirmed,Total_Recovered,Total_Deaths
27,Mizoram,1,0,0
8,Gujarat,1099,86,41
24,AndamanandNicobarIslands,11,10,0
9,Rajasthan,1231,183,11
2,TamilNadu,1367,281,15
14,Ladakh,17,12,0
4,Delhi,1708,72,42
26,Manipur,2,1,0
16,Chandigarh,21,7,0
10,Punjab,211,30,14
11,Haryana,223,55,3
15,WestBengal,255,51,10
25,Jharkhand,27,0,2
13,JammuandKashmir,329,42,5
0,Maharashtra,3314,331,201
18,Assam,34,0,0
6,Karnataka,359,88,12
19,Chhattisgarh,36,24,0
22,HimachalPradesh,38,12,2
1,Kerala,394,245,2
20,Uttarakhand,40,4,0
28,Puducherry,5,0,0
5,AndhraPradesh,572,35,14
23,Odisha,60,12,1
21,Goa,7,5,0
12,MadhyaPradesh,741,64,53
7,Telangana,766,187,18
17,Bihar,85,37,1
3,UttarPradesh,850,82,14
