,State_Name,Total_confirmed,Total_Recovered,Total_Deaths
26,Puducherry,1,0,0
24,Manipur,1,0,0
25,Mizoram,1,0,0
23,AndamanandNicobarIslands,10,0,0
3,UttarPradesh,101,17,0
5,Karnataka,101,6,3
2,TamilNadu,124,6,1
16,Chandigarh,13,0,0
13,Ladakh,13,3,0
17,Bihar,22,0,1
14,AndhraPradesh,23,1,0
1,Kerala,241,24,2
15,WestBengal,27,0,4
22,Odisha,3,0,0
21,HimachalPradesh,3,0,1
0,Maharashtra,302,39,10
9,Punjab,41,1,4
10,Haryana,43,17,0
20,Goa,5,0,0
12,JammuandKashmir,55,1,1
11,MadhyaPradesh,66,0,4
19,Uttarakhand,7,2,0
7,Gujarat,74,6,5
18,Chhattisgarh,8,0,0
6,Telengana,92,14,8
8,Rajasthan,93,3,0
4,Delhi,97,6,2
